antecedents_str,consequents_str,support,confidence,lift
author:Shana Ecker,category:HOME & LIVING,0.0022534606717458956,1.0,44.20515861251112
"author:Contributor
food52.com",category:FOOD & DRINK,0.002132739564330937,1.0,33.61226330027051
"author:Contributor
food52.com, author:Food52",category:FOOD & DRINK,0.002132739564330937,1.0,33.61226330027051
author:James Michael Nichols,category:QUEER VOICES,0.004345959866938513,1.0,33.42389598744676
author:Jessica Misener,category:STYLE & BEAUTY,0.0021461530207103766,1.0,21.009440608707905
author:Ellie Krupnick,category:STYLE & BEAUTY,0.005673892048503058,0.9964664310954063,20.935202302670067
author:Sarah Leon,category:STYLE & BEAUTY,0.0026223307221804916,0.9923857868020305,20.849470248743124
author:Cole Delbyck,category:ENTERTAINMENT,0.006156776478162893,0.9902912621359224,12.691798895437044
author:Amanda L. Chan,category:WELLNESS,0.0027028114604571306,0.9901719901719902,11.40771166918594
author:Ariel Edwards-Levy,category:POLITICS,0.003474085202274922,0.9885496183206106,5.169456117913805
author:Amanda Terkel,category:POLITICS,0.003138748792788926,0.9873417721518987,5.163139886891478
author:Jennifer Bendery,category:POLITICS,0.0020790857388131774,0.9872611464968154,5.1627182684130455
author:Cristian Farias,category:POLITICS,0.0023674750509711344,0.9860335195530727,5.156298597111541
author:Rebecca Adams,category:STYLE & BEAUTY,0.00460752226633759,0.9814285714285715,20.61926528311762
author:Igor Bobic,category:POLITICS,0.004755070286511428,0.9806362378976486,5.1280744087079935
author:Michael Calderone,category:MEDIA,0.0020053117287262582,0.9803278688524589,72.00532342727934
author:Matthew Jacobs,category:ENTERTAINMENT,0.004070984011159995,0.9774557165861513,12.527295613362687
author:Elise Foley,category:POLITICS,0.0022199270307972957,0.976401179941003,5.105927876194133
author:Sam Levine,category:POLITICS,0.004835551024788067,0.9639037433155079,5.040574606085487
author:Julia Brucculieri,category:ENTERTAINMENT,0.005264781628930143,0.9584859584859584,12.28417486282365
author:Lauren Weber,category:POLITICS,0.002293701040884215,0.9579831932773109,5.009614072543056
author:Michelle Manetti,category:HOME & LIVING,0.005063579783238545,0.9437499999999999,41.718618440557364
author:Carolina Moreno,category:LATINO VOICES,0.002092499195192617,0.9313432835820894,170.18015803336255
author:Dana Oliver,category:STYLE & BEAUTY,0.005043459598669385,0.9295426452410384,19.529170998452837
author:Christina Anderson,category:STYLE & BEAUTY,0.0025150230711449726,0.9146341463414633,19.215951776257228
author:Daniel Marans,category:POLITICS,0.004097810923918876,0.9051851851851853,4.733515654327916
author:Paige Lavender,category:POLITICS,0.0022534606717458956,0.896,4.685483253252903
author:Bill Bradley,category:ENTERTAINMENT,0.003514325571413242,0.8821548821548821,11.305898362456725
author:Marina Fang,category:POLITICS,0.0037893014271917587,0.8773291925465839,4.587847365253248
author:Michelle Persad,category:STYLE & BEAUTY,0.0033533640948599634,0.8517887563884157,17.895605288507586
author:Taylor Pittman,category:PARENTS,0.0023339414100225346,0.8285714285714285,38.92353947249977
author:Curtis M. Wong,category:QUEER VOICES,0.005412329649103981,0.8276923076923077,27.66470160191747
author:Food52,category:FOOD & DRINK,0.002132739564330937,0.825974025974026,27.76285644022344
author:Suzy Strutner,category:TRAVEL,0.0022601673999356154,0.7819025522041764,14.791271015459467
author:Caroline Bologna,category:PARENTS,0.0031789891619272456,0.7632850241545894,35.856600580197195
author:Andy McDonald,category:COMEDY,0.004070984011159995,0.7438725490196078,33.19795646483675
author:Carly Ledbetter,category:ENTERTAINMENT,0.0037960081553814785,0.7182741116751269,9.205564994602726
author:MD,category:WELLNESS,0.002193100118038416,0.6193181818181819,7.135127351399953
author:M.D.,category:WELLNESS,0.003983796544693637,0.61875,7.128581363004173
author:Hayley Miller,category:POLITICS,0.002012018456915978,0.6072874493927125,3.1757088995984644
author:Sara Boboltz,category:ENTERTAINMENT,0.0025552634402832924,0.5962441314553991,7.6416009091048505
author:Alanna Vagianos,category:WOMEN,0.002012018456915978,0.5859375,32.273965644625044
author:Jamie Feldman,category:STYLE,0.002012018456915978,0.5703422053231939,79.47691979673786
author:Mary Papenfuss,category:POLITICS,0.005640358407554459,0.5471698113207548,2.861333691550164
author:Nick Visser,category:POLITICS,0.0023674750509711344,0.538109756097561,2.81395563683831
author:Ph.D.,category:WELLNESS,0.003018027685373967,0.5073280721533259,5.84489606477743
